"id","name","is_locked","created_date","updated_date","acronym","slug","slug_index","description","hub_image","category_id","discussion_count","paper_count","subscriber_count","is_removed"
250,"art",FALSE,"2020-08-12 04:32:44.721115+00","2022-01-12 00:14:00.58141+00","","art-1",1,"Practice-based, historical, and contemporary research related to visual culture and its wider implications","uploads/hub_images/2020/10/07/art.jpg",10,28,2524,1160,FALSE
391,"marine biology",FALSE,"2020-11-21 05:31:13.912369+00","2021-09-07 17:51:27.470995+00","","marine-biology",,"The study of organisms and ecosystems in the ocean and other saltwater environments.","uploads/hub_images/2020/11/21/marine_biology.jpeg",2,9,14,43,FALSE
424,"occupational therapy",FALSE,"2022-01-06 06:22:01.833773+00","2022-01-06 06:22:01.833798+00","","occupational-therapy",,"The study of how to develop, recover, or maintain the meaningful activities, or occupations, of individuals, groups, or communities","uploads/hub_images/2022/01/06/occupational_Therapy.jpeg",3,43,42,9,FALSE
427,"cybersec",FALSE,"2022-02-03 00:03:04.506461+00","2022-02-03 01:46:52.265902+00","","cybersec",,"Cyber security","",4,111,111,111,TRUE
11,"other",FALSE,"2019-12-10 03:02:36.86943+00","2021-09-07 17:51:25.21819+00","","other",,"This hub contains papers which don't fit anywhere else.","",1,74,55943,13,TRUE
398,"dentistry",FALSE,"2021-05-20 03:09:04.050712+00","2022-03-18 18:57:35.991601+00","","dentistry",,"The study, diagnosis, prevention, and treatment of diseases, disorders, and conditions of the oral cavity and maxillofacial area.","uploads/hub_images/2021/05/20/teeth.jpeg",3,27,13,10,FALSE
394,"veterinary medicine",FALSE,"2021-02-17 05:21:39.81372+00","2021-12-28 21:01:49.614565+00","VET","veterinary-science",,"Veterinary medicine is the branch of medicine that deals with the prevention, control, diagnosis, and treatment of disease, disorder, and injury in animals.","",3,34,1482,12,FALSE
31,"chemistry",FALSE,"2020-04-01 17:16:37.870045+00","2021-09-07 17:51:27.318583+00","","chemistry",,"Discipline for exploring the composition, structure, and properties of matter.","uploads/hub_images/2020/10/07/chemistry.jpg",7,23,19055,118,FALSE
241,"abstract algebra",FALSE,"2020-08-04 15:08:29.889283+00","2021-09-07 17:51:35.31123+00","","abstract-algebra",,"The study of algebraic structures, such as groups, rings, and algebras.","uploads/hub_images/2020/10/07/abstract-algebra.jpg",6,6,19,66,FALSE
21,"environmental science",FALSE,"2020-01-21 06:27:41.053235+00","2021-09-07 17:51:39.80544+00","","environmental-science",,"A multidisciplinary field dedicated to understanding changes in the environment.","uploads/hub_images/2020/10/07/environmental-science.jpg",2,62,16081,1210,FALSE
34,"geology",FALSE,"2020-04-01 17:18:20.259079+00","2021-09-07 17:51:27.447758+00","","geology",,"The study of history, composition and physical aspects of the Earth.","uploads/hub_images/2020/10/07/geology.jpg",2,17,6444,76,FALSE
247,"human-computer interaction",FALSE,"2020-08-09 16:17:21.87171+00","2021-09-07 17:51:27.510262+00","","human-computer-interaction-1",1,"Field of study focusing on the design of computer technology for human use.","uploads/hub_images/2020/10/07/human-computer-interaction.jpg",4,17,484,154,FALSE
236,"internal medicine",FALSE,"2020-08-04 06:17:16.624481+00","2021-09-07 17:51:28.661621+00","","internal-medicine",,"The branch of medicine dealing with internal, multi-system diseases.","uploads/hub_images/2020/10/07/internal-medicine.jpg",3,126,109,93,FALSE
410,"journalism",FALSE,"2021-12-22 14:46:54.126472+00","2021-12-22 14:46:54.126497+00","","journalism",,"the production and distribution of reports on current events based on facts and supported with proof or evidence.","uploads/hub_images/2021/12/22/journalism_Hub.jpeg",9,0,1,11,FALSE
253,"photovoltaics",FALSE,"2020-08-30 07:39:09.509633+00","2021-09-07 17:51:26.488196+00","","photovoltaics",,"The study of the conversion of light into electricity using semiconducting materials that exhibit the photovoltaic effect.","uploads/hub_images/2020/10/07/photovoltaics.jpg",8,1,8,67,FALSE
262,"cryptography and security",FALSE,"2020-10-13 22:23:06.498732+00","2021-09-07 17:51:27.534294+00","","cryptography-and-security-1",1,"","",1,26,33,112,FALSE
221,"nutrition",FALSE,"2020-07-27 01:13:21.453246+00","2021-09-07 17:51:31.906621+00","","nutrition",,"The study of food, nutrients and their impacts on health.","uploads/hub_images/2020/10/07/nutrition.jpg",3,219,4278,214,FALSE
405,"criminology",FALSE,"2021-12-04 15:34:53.292331+00","2021-12-04 15:34:53.292358+00","","criminology",,"The study of crime and deviant behavior","uploads/hub_images/2021/12/04/criminology.jpeg",9,5,125,25,FALSE
413,"linguistics",FALSE,"2021-12-23 15:35:42.831993+00","2021-12-23 15:35:42.83202+00","","linguistics",,"The scientific study of language and its structure, including the study of morphology, syntax, phonetics, and semantics.","uploads/hub_images/2021/12/23/linguistics.jpg",9,2,3,17,FALSE
412,"quantum sensing",FALSE,"2021-12-23 14:56:21.153084+00","2021-12-23 14:56:21.153109+00","","quantum-sensing",,"The study of quantum sources and quantum measurements that are able to beat the performance of any classical strategy","uploads/hub_images/2021/12/23/QuantumSensing.jpeg",5,53,44,8,FALSE
392,"quantum biology",FALSE,"2021-01-08 05:21:39.81372+00","2021-09-07 17:51:27.493099+00","","quantum-biology",,"the study of applications of quantum mechanics and theoretical chemistry to biological objects and problems","uploads/hub_images/2021/01/08/quantum-biology-s.png",2,5,11,51,FALSE
426,"infosec",FALSE,"2022-02-03 00:00:07.096098+00","2022-02-03 00:00:07.096119+00","","infosec",,"Information security.","",4,85,10442,5,FALSE
54,"robotics",FALSE,"2020-04-24 23:50:56.255994+00","2021-09-07 17:51:27.70619+00","","robotics",,"Design, construction, and operation of robots.","uploads/hub_images/2020/10/07/robotics-2.jpg",8,112,2945,168,FALSE
397,"virology",FALSE,"2021-05-06 16:28:35.112738+00","2021-09-07 17:51:25.72398+00","","virology",,"The scientific study of the biology of viruses and viral diseases.","uploads/hub_images/2021/05/06/cdc-BbP7rqIGB3c-unsplash.jpg",2,27,62,19,FALSE
140,"fluid dynamics",FALSE,"2020-04-24 23:50:59.358662+00","2021-09-07 17:51:26.455602+00","","fluid-dynamics",,"A subdiscipline of fluid mechanics that describes the flow of fluidsâ€”liquids and gases.","uploads/hub_images/2020/10/07/fluid-dynamics.jpg",5,2,7154,32,FALSE
14,"astrophysics",FALSE,"2019-12-31 05:24:35.183964+00","2021-09-07 17:51:25.712786+00","","astrophysics",,"Use of physics principles to ascertain the nature of astronomical objects.","uploads/hub_images/2020/10/07/astrophysics.jpg",5,13,35424,131,FALSE
428,"cybersec2 - altered",FALSE,"2022-02-05 22:36:17.481356+00","2022-02-05 23:05:56.654959+00","","cybersec2",,"Cyber security 2 - Authorised Security Test - ALTERED","",5,9999,8888,7777,TRUE
402,"catastrophism",FALSE,"2021-07-29 16:12:29.654821+00","2021-09-07 17:51:31.952568+00","","catastrophism",,"A theory within geography that the Earth has largely been shaped by sudden, short-lived, violent events, possibly worldwide in scope.","uploads/hub_images/2021/07/29/Catastrophism_Hub_Pic.jpeg",5,0,6,5,FALSE
52,"information security",FALSE,"2020-04-24 23:50:56.187828+00","2021-09-07 17:51:28.067558+00","","cryptography-and-security",,"The practice and study of secure communication and protection of computer systems and information.","uploads/hub_images/2020/10/07/cryptography-and-security.jpg",4,5,5003,132,FALSE
57,"number theory",FALSE,"2020-04-24 23:50:56.415736+00","2021-09-07 17:51:31.764077+00","","number-theory",,"The study of properties of integers and integer functions.","uploads/hub_images/2020/10/07/number-theory-2.jpg",6,0,11586,51,FALSE
400,"geophysics",FALSE,"2021-05-23 19:35:08.777745+00","2021-09-07 17:51:29.635076+00","","geophysics",,"The physical processes and physical properties of the Earth and its surrounding space environment","uploads/hub_images/2021/05/23/geophysics_Hub.jpeg",5,57,89,14,FALSE
269,"photography",FALSE,"2020-11-01 14:05:33.418815+00","2021-09-07 17:51:28.468022+00","","photography",,"Digital and legacy film photography","uploads/hub_images/2020/11/01/IMG_2804.jpg",10,0,1,242,FALSE
61,"methodology",FALSE,"2020-04-24 23:50:56.547436+00","2021-09-07 17:51:28.898569+00","","methodology",,"The systematic, theoretical analysis of the methods applied to a field of study.","uploads/hub_images/2020/10/07/methodology.jpg",9,10,9245,51,FALSE
268,"media production",FALSE,"2020-10-30 13:12:19.40761+00","2021-09-07 17:51:28.639876+00","","media-production",,"Audio & Video Production, Game Design, and the Visual Arts.","",10,0,1,326,FALSE
270,"analytical chemistry",FALSE,"2020-11-02 04:27:18.391685+00","2021-09-07 17:51:28.515071+00","","analytical-chemistry",,"Analytical Chemistry","",7,44,2752,51,FALSE
15,"psychology",FALSE,"2020-01-01 04:59:18.011588+00","2021-09-07 17:51:34.704003+00","PSYCH","psychology",,"The scientific study of the human mind and its functions, especially those affecting behavior in a given context.","uploads/hub_images/2020/10/07/psychology.jpg",9,727,12890,1912,FALSE
243,"kinesiology",FALSE,"2020-08-06 19:49:58.706605+00","2021-09-07 17:51:31.91886+00","","kinesiology",,"The study of human movement and function.","uploads/hub_images/2020/10/07/kinesiology.jpg",3,174,132,85,FALSE
401,"remote sensing",FALSE,"2021-05-23 19:36:50.857787+00","2021-09-07 17:51:28.650301+00","","remote-sensing",,"The acquisition of information about an object or phenomenon without making physical contact with the object","uploads/hub_images/2021/05/23/remotesensing.jpeg",8,18,28,34,FALSE
194,"oncology",FALSE,"2020-05-06 23:28:42.250983+00","2021-09-07 17:51:27.954544+00","","cancer-biology",,"Branch of medicine which deals with the prevention, diagnosis, and treatment of cancer.","uploads/hub_images/2020/10/07/cancer-biology.jpg",3,288,10510,160,FALSE
399,"geodesy",FALSE,"2021-05-23 19:33:21.016023+00","2021-09-07 17:51:31.929066+00","","geodesy",,"The study of accurately measuring and understanding Earth's geometric shape, orientation in space and gravitational field","uploads/hub_images/2021/05/23/geodesy_hub.jpeg",5,13,15,6,FALSE
3,"biology",FALSE,"2019-11-01 18:51:12.12785+00","2021-09-07 17:51:36.96512+00","BIO","biology",,"The study of life and living organisms.","uploads/hub_images/2020/10/07/biology-2.jpg",2,191,6921,1049,FALSE
205,"pharmacology",FALSE,"2020-05-06 23:28:42.305987+00","2021-09-07 17:51:32.696503+00","","pharmacology-and-toxicology",,"The study of drugs.","uploads/hub_images/2020/10/07/pharmacology-and-toxicology-3.jpg",2,250,10098,268,FALSE
265,"architecture",FALSE,"2020-10-30 06:02:30.357893+00","2021-09-07 17:51:26.476009+00","","architecture",,"Architecture is both the process and the product of planning, designing, and construction buildings or other structures.","",1,0,335,52,FALSE
261,"distributed, parallel, and cluster computing",FALSE,"2020-10-13 22:23:05.794958+00","2021-09-07 17:51:31.942317+00","","distributed-parallel-and-cluster-computing-1",1,"","",1,1,3,40,FALSE
101,"logic",FALSE,"2020-04-24 23:50:57.836169+00","2021-09-07 17:51:29.783569+00","","logic",,"The study of valid rules of inference.","uploads/hub_images/2020/10/07/logic.jpg",6,0,3759,99,FALSE
266,"ophthalmology",FALSE,"2020-10-30 08:22:29.771647+00","2021-09-07 17:51:31.843041+00","","ophthalmology",,"Clinical and basic science research that relate to the sense of sight.","",3,13,47,16,FALSE
33,"engineering",FALSE,"2020-04-01 17:17:23.111055+00","2021-09-07 17:51:26.953885+00","","engineering",,"Design and implementation of systems under practical constraints.","uploads/hub_images/2020/10/07/engineering-2.jpg",8,100,26489,195,FALSE
277,"music",FALSE,"2020-11-03 03:44:20.806858+00","2021-09-07 17:51:28.454527+00","","music",,"Enjoy this precious life","uploads/hub_images/2020/11/03/twitter-banner.jpg",10,0,8,80,TRUE
251,"endocrinology",FALSE,"2020-08-20 02:52:46.605769+00","2021-09-07 17:51:28.556074+00","","endocrinology",,"The study of hormone secreting glands in the body.","uploads/hub_images/2020/10/07/endocrinology.png",3,15,2456,27,FALSE
19,"mathematics",FALSE,"2020-01-14 05:19:06.384128+00","2021-09-07 17:51:31.087162+00","MATH","mathematics",,"The abstract study of quantity, structure, space and change.","uploads/hub_images/2020/10/07/mathematics.jpg",6,33,31161,423,FALSE
49,"chemical physics",FALSE,"2020-04-24 23:50:56.089312+00","2021-09-07 17:51:32.309504+00","","chemical-physics",,"Application of ideas and theories of physics to the analysis of chemical systems.","uploads/hub_images/2020/10/07/chemical-physics.jpg",7,5,5676,60,FALSE
119,"statistics",FALSE,"2020-04-24 23:50:58.472561+00","2021-09-07 17:51:29.623928+00","","data-analysis-statistics-and-probability",,"Mathematical discipline concerning the collection, organization, analysis, interpretation and presentation of data.","uploads/hub_images/2020/10/07/data-analysis-statistics-and-probability-2.jpg",6,18,11908,311,FALSE
407,"health psychology",FALSE,"2021-12-20 20:06:20.021857+00","2021-12-20 20:06:20.021883+00","","health-psychology",,"Health psychology focuses on how social, behavioral and biological factors act together to influence physical and mental health.","uploads/hub_images/2021/12/20/K6M9nZd39Q8.jpg",9,178,87,24,FALSE
425,"researchhub",FALSE,"2022-01-07 18:24:21.057065+00","2022-01-07 18:24:21.05709+00","","researchhub",,"A meta-Hub to help organize and aggregate community feedback on all things ResearchHub","uploads/hub_images/2022/01/07/RH_logo_square.jpeg",1,19,3,62,FALSE
37,"sociology",FALSE,"2020-04-01 17:20:46.483446+00","2021-09-07 17:51:45.161276+00","","sociology",,"The study of human social behavior, society, patterns of social relationships, social interaction, and culture that surrounds everyday life.","uploads/hub_images/2020/10/07/sociology.jpg",9,59,8801,148,FALSE
415,"pediatrics",FALSE,"2021-12-23 15:51:05.962533+00","2021-12-23 15:51:05.962558+00","","pediatrics",,"The branch of medicine that involves the medical care of infants, children, and adolescents","uploads/hub_images/2021/12/23/pediatrics.jpeg",3,42,23,2,FALSE
115,"biomolecules",FALSE,"2020-04-24 23:50:58.31468+00","2021-09-07 17:51:35.693931+00","","biomolecules",,"The study of biological molecules.","uploads/hub_images/2020/10/07/biomolecules.jpg",2,25,1643,283,FALSE
198,"epidemiology",FALSE,"2020-05-06 23:28:42.270501+00","2021-09-07 17:51:32.501908+00","","epidemiology",,"The study of the distributions and determinants of health and disease in specified populations.","uploads/hub_images/2020/10/07/epidemiology.jpg",3,68,7370,166,FALSE
260,"biological physics",FALSE,"2020-10-13 22:23:05.059104+00","2021-09-07 17:51:39.327502+00","","biological-physics",,"","",1,12,11,26,FALSE
223,"dermatology",FALSE,"2020-07-30 19:33:29.270926+00","2021-09-07 17:51:27.48264+00","","dermatology",,"The branch of medicine dealing with diseases related to the skin.","uploads/hub_images/2020/10/07/dermatology.jpg",3,99,68,47,FALSE
244,"cell biology",FALSE,"2020-08-07 06:14:41.151247+00","2021-09-07 17:51:26.277374+00","","cell-biology-1",1,"The study of cell structure and function.","uploads/hub_images/2020/10/07/cell-biology.jpg",2,42,7937,275,FALSE
7,"bioinformatics",FALSE,"2019-11-27 02:50:12.611135+00","2021-09-07 17:51:49.647697+00","","bioinformatics",,"The usage of computers and statistical techniques to analyze and interpret biological data.","uploads/hub_images/2020/10/07/bioinformatics.jpg",2,64,9213,282,FALSE
214,"anesthesiology",FALSE,"2020-05-19 11:42:46.116151+00","2021-09-07 17:51:34.211743+00","","anesthesiology",,"Medical specialty focusing on the care of patients before, during and after surgeries.","uploads/hub_images/2020/10/07/anesthesiology.jpg",3,11,1056,27,FALSE
152,"atomic physics",FALSE,"2020-04-24 23:50:59.899449+00","2021-09-07 17:51:32.962657+00","","atomic-physics",,"The field of physics that studies atoms as an isolated system of electrons and an atomic nucleus.","uploads/hub_images/2020/10/07/atomic-physics.jpg",5,4,6852,45,FALSE
36,"geography",FALSE,"2020-04-01 17:19:01.746975+00","2021-09-07 17:51:39.304043+00","","geography",,"The study of the lands, features, inhabitants, and phenomena of the Earth and planets.","uploads/hub_images/2020/10/07/geography-3.jpg",9,34,4722,52,FALSE
80,"quantum mechanics",FALSE,"2020-04-24 23:50:57.186516+00","2021-09-07 17:51:34.175393+00","","quantum-physics",,"A fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.","uploads/hub_images/2020/10/07/quantum-physics.png",5,31,45019,70,FALSE
390,"academia",FALSE,"2020-11-20 05:52:09.820116+00","2021-09-07 17:51:26.182909+00","","academia",,"Meta studies on academia","uploads/hub_images/2020/11/20/1_zqEYDhfbTpl8beM6Oex0JA.jpeg",1,49,65,65,FALSE
220,"medicine",FALSE,"2020-07-20 15:35:50.918195+00","2021-09-07 17:51:39.153922+00","","medicine",,"The science of treatment and prevention of disease.","uploads/hub_images/2020/10/07/medicine.jpg",3,728,74857,2337,FALSE
395,"quantum computing",FALSE,"2021-04-14 18:22:51.979112+00","2021-09-07 17:51:32.513535+00","","quantum-computing",,"The use of quantum phenomena such as superposition and entanglement to perform computation","uploads/hub_images/2021/04/14/220px-Bloch_Sphere.svg.png",4,16,23,97,FALSE
203,"paleontology",FALSE,"2020-05-06 23:28:42.296647+00","2021-09-07 17:51:36.978001+00","","paleontology",,"Exploration of the history of life on Earth through fossils.","uploads/hub_images/2020/10/07/paleontology.jpg",2,2,116,39,FALSE
